1:binCentralValue 2:valuesAverage 3:multiplicity
11.25 5.210899000561033e-43 25946
11.5 2.398266989136914e-43 26118
11.75 1.884036784486946e-43 27506
12 2.065610107407969e-43 29066
12.25 2.312171200433263e-43 30450
12.5 2.575000232038467e-43 31742
12.75 2.786997440534573e-43 32250
13 3.131727491081208e-43 34250
13.25 3.549631090288474e-43 35454
13.5 3.983561386521249e-43 36434
13.75 4.459002517835106e-43 37682
14 4.989878065442341e-43 39294
14.25 5.65465614789904e-43 41426
14.5 6.150743410127213e-43 42066
14.75 6.875005405441575e-43 43490
15 7.504357391858666e-43 45702
15.25 8.098453806041006e-43 46634
15.5 9.076403874172694e-43 48554
15.75 9.430967712018226e-43 48870
16 1.009585205091155e-42 50963
16.25 1.035868720609795e-42 51576
16.5 1.029116317242843e-42 49316
16.75 1.04719722332069e-42 49344
17 1.041694510472298e-42 47192
17.25 1.091940352826553e-42 47576
17.5 1.066068066128267e-42 45348
17.75 1.067656464847505e-42 44060
18 1.099451527713342e-42 43872
18.25 1.086789717031664e-42 41756
18.5 1.120866960003693e-42 41528
18.75 1.086956661912472e-42 39300
19 1.090681324281902e-42 38276
19.25 1.094789728329959e-42 36900
19.5 1.077062610273536e-42 34724
19.75 1.09943710511312e-42 33960
20 1.086209462380883e-42 32144
20.25 1.07903717925537e-42 30704
20.5 1.048584662814313e-42 28896
20.75 1.017220398402697e-42 26924
21 1.018531143423202e-42 25656
21.25 9.555361062228141e-43 23228
21.5 9.168959011912146e-43 21816
21.75 8.583361618383771e-43 19472
22 8.006235702436738e-43 17696
22.25 7.214128520525998e-43 15588
22.5 6.384748071699006e-43 13760
22.75 5.506924018467081e-43 11565
23 4.854372961219483e-43 10016
23.25 4.270839980637863e-43 8652
23.5 3.741095070682335e-43 7652
23.75 3.293995497100036e-43 6542
24 2.805204782628761e-43 5478
24.25 2.627269025008938e-43 4886
24.5 2.213097727898194e-43 4068
24.75 1.843842920876015e-43 3326
25 1.457719349329254e-43 2696
25.25 1.268150748924493e-43 2304
25.5 1.084003407827615e-43 1934
25.75 7.521700942532155e-44 1344
26 4.875650357463828e-44 848
26.25 5.437487899772641e-44 888
26.5 3.770129316145836e-44 584
26.75 2.174794950204744e-44 344
27 4.476236831197534e-45 102
27.25 5.661677016792345e-45 104
27.5 1.289982605553202e-45 24
27.75 1.642338900105052e-49 1

0.25 3.36621344297186e-23 18
0.5 2.59488348764011e-23 62
0.75 3.63378811303483e-24 98
1 2.909693775435025e-24 210
1.25 5.276390555319782e-24 350
1.5 2.555314010025999e-23 450
1.75 3.216757566272352e-22 602
2 6.315836616880485e-22 762
2.25 2.478425778942272e-22 1142
2.5 2.164620790529487e-23 1250
2.75 1.694327950460549e-24 1458
3 1.78030002288277e-25 1814
3.25 2.971252475653507e-26 2178
3.5 1.031047268518792e-26 2498
3.75 9.941338007611301e-27 2622
4 1.445088784844535e-26 3338
4.25 1.830779864046138e-26 3722
4.5 2.209049702501303e-26 4170
4.75 2.733074004252644e-26 4358
5 2.880907929356973e-26 5034
5.25 3.190073242477964e-27 5714
5.5 1.086244889034345e-27 5982
5.75 9.600490067854266e-28 6602
6 7.070222134280372e-28 7130
6.25 4.357299982450706e-28 8034
6.5 2.623521718411218e-28 8606
6.75 1.593245907682385e-28 9066
7 8.69569541737375e-29 9962
7.25 3.784035714709354e-29 10550
7.5 1.182457488229208e-29 11226
7.75 2.305505054854985e-30 12146
8 5.712932901039038e-32 12606
8.25 8.893599016517042e-39 13802
8.5 3.555670320399958e-39 14754
8.75 7.984465687046553e-40 15194
9 1.780618074629285e-40 16454
9.25 6.604937014648302e-41 17154
9.5 4.010275824103749e-41 18266
9.75 2.526385480177206e-41 18750
10 1.584900982865188e-41 20234
10.25 9.532167534988527e-42 21450
10.5 5.115431165784222e-42 21962
10.75 2.687413456635342e-42 23462
11 1.175415588721207e-42 24042
11.25 5.35020886776608e-43 25946
11.5 2.508883309664465e-43 26118
11.75 1.96248982305201e-43 27506
12 2.160233319670054e-43 29066
12.25 2.442760654972346e-43 30450
12.5 2.689839754149646e-43 31742
12.75 2.95072327976805e-43 32250
13 3.368982728090994e-43 34250
13.25 3.701117163130957e-43 35454
13.5 4.18214102946718e-43 36434
13.75 4.693129161594562e-43 37682
14 5.273787850340305e-43 39294
14.25 5.954495620685076e-43 41426
14.5 6.530616621712816e-43 42066
14.75 7.189249074945252e-43 43490
15 8.034691551520463e-43 45702
15.25 8.596488581271451e-43 46634
15.5 9.566002776890705e-43 48554
15.75 9.931956471707146e-43 48870
16 1.067836236168792e-42 50963
16.25 1.096636899032554e-42 51576
16.5 1.086224460719155e-42 49316
16.75 1.134071660526579e-42 49344
17 1.099451603345377e-42 47192
17.25 1.145988406797069e-42 47576
17.5 1.143856499746631e-42 45348
17.75 1.13438022007233e-42 44060
18 1.170355874015566e-42 43872
18.25 1.156018081988344e-42 41756
18.5 1.197817015262834e-42 41528
18.75 1.152421138871917e-42 39300
19 1.159253138649778e-42 38276
19.25 1.17127731808882e-42 36900
