1:binCentralValue 2:valuesAverage 3:multiplicity
11 2.084187493298877e-41 5982
11.5 2.752639772873637e-41 6602
12 3.44818551070328e-41 7130
12.5 4.625572773314516e-41 8034
13 6.030974141921252e-41 8606
13.5 7.626092791784876e-41 9066
14 1.006489762416338e-40 9962
14.5 1.274254122759957e-40 10550
15 1.557476465860241e-40 11226
15.5 1.952035826175297e-40 12146
16 2.222849046731576e-40 12303
16.5 2.477275198129219e-40 12584
17 2.590961060750099e-40 12120
17.5 2.614661363222649e-40 11180
18 2.821181836141678e-40 11096
18.5 2.704012471045556e-40 10056
19 2.75529152683003e-40 9716
19.5 2.717804422466315e-40 8604
20 2.732712865936333e-40 8060
20.5 2.672093494642695e-40 7320
21 2.548998626994504e-40 6356
21.5 2.327819115507763e-40 5348
22 2.083393706363256e-40 4308
22.5 1.739712229336011e-40 3563
23 1.218125732059686e-40 2448
23.5 9.805994097714127e-41 1868
24 7.113841742579488e-41 1358
24.5 5.488886212514148e-41 1062
25 4.033750108794901e-41 776
25.5 2.171459537688146e-41 432
26 1.072426190091151e-41 200
26.5 9.168493464560411e-42 168
27 3.484279391888868e-42 56
27.5 4.062300647541654e-43 7

0.5 2.378951268253441e-15 18
1 2.424987007103519e-15 62
1.5 2.743803460241695e-14 98
2 3.007967937971174e-14 210
2.5 1.279850123323818e-15 350
3 1.408246504892262e-16 450
3.5 2.701378451773121e-19 602
4 8.93172571939918e-21 762
4.5 3.536725114008072e-21 1142
5 1.010356168961168e-21 1250
5.5 3.014485578273283e-23 1458
6 4.703478164174368e-26 1814
6.5 2.132020026859412e-27 2178
7 1.303816633517846e-28 2498
7.5 2.125696044859959e-29 2622
8 1.902688423579899e-30 3338
8.5 1.28329946648824e-32 3722
9 5.122836936460016e-35 4170
9.5 4.856037003414656e-36 4358
10 2.999291217859307e-37 5034
10.5 3.49270801277785e-38 5714
11 7.982621274529858e-39 5982
11.5 3.183208330145264e-39 6602
12 4.037465181538803e-39 7130
12.5 5.320789558994637e-39 8034
13 6.74202804929711e-39 8606
13.5 8.113152015807916e-39 9066
14 1.058492360210142e-38 9962
14.5 1.276444406748765e-38 10550
15 1.555571597698558e-38 11226
15.5 1.955125810470623e-38 12146
16 2.14387157861925e-38 12303
16.5 2.380324614735542e-38 12584
17 2.450017485223451e-38 12120
17.5 2.44569276856602e-38 11180
18 2.527505763142669e-38 11096
18.5 2.464447983079073e-38 10056
19 2.511833776538576e-38 9716
19.5 2.393635161239027e-38 8604
20 2.316666181313932e-38 8060
20.5 2.30968908632548e-38 7320
21 2.149639726087865e-38 6356
21.5 1.939080417956785e-38 5348
22 1.661322945310541e-38 4308
22.5 1.486264953470478e-38 3563
23 1.043638212766888e-38 2448
23.5 8.364716310444967e-39 1868
24 5.79058128559839e-39 1358
24.5 4.747238038579076e-39 1062
25 3.489763700576086e-39 776
