1:binCentralValue 2:valuesAverage 3:multiplicity
4.25 1.875127123378466e-25 3722
4.5 2.333480854437915e-25 4170
4.75 2.370149031128585e-25 4358
5 9.692168684810011e-26 5034
5.25 3.093607201153609e-26 5714
5.5 3.59277363796216e-27 5982
5.75 9.691190917287902e-28 6602
6 7.363373624644051e-28 7130
6.25 5.048732640104724e-28 8034
6.5 2.85398485120499e-28 8606
6.75 1.658919953423467e-28 9066
7 9.823837920547111e-29 9962
7.25 4.94730193751312e-29 10550
7.5 2.12121808835189e-29 11226
7.75 6.382949353928375e-30 12146
8 2.309597118650828e-31 12606
8.25 1.019113207079579e-37 13802
8.5 6.521637836474083e-38 14754
8.75 2.868391355820766e-38 15194
9 9.085499752991462e-39 16454
9.25 1.426502738339287e-39 17154
9.5 1.478451949551948e-40 18266
9.75 4.952057742887861e-41 18750
10 3.858666212784974e-41 20234
10.25 2.819453070776925e-41 21450
10.5 1.93313017955565e-41 21962
10.75 1.253109182394262e-41 23462
11 6.958382941012528e-42 24042
11.25 3.244439922897741e-42 25946
11.5 1.143965782678809e-42 26118
11.75 5.962804532969533e-43 27506
12 5.784464432997907e-43 28631
12.25 6.048675381834006e-43 28596
12.5 6.061795353096874e-43 27848
12.75 6.087634579536428e-43 26544
13 6.339006681992316e-43 26456
13.25 6.352784456372847e-43 25284
13.5 6.341494951821736e-43 24260
13.75 6.334051850998092e-43 23312
14 6.535787710898925e-43 22368
14.25 6.515867950440026e-43 21872
14.5 6.433876771459036e-43 20400
14.75 6.269156557757751e-43 19040
15 6.365728659588537e-43 18252
15.25 6.19926728489147e-43 16760
15.5 6.145349813197716e-43 15776
15.75 5.743421066823662e-43 13704
16 5.587255417304283e-43 13112
16.25 5.311003772971477e-43 11652
16.5 4.597896862427393e-43 9776
16.75 4.207444298822994e-43 8448
17 3.421570147003116e-43 7013
17.25 2.812804103019878e-43 5546
17.5 2.418442607463729e-43 4722
17.75 2.08823105491343e-43 3782
18 1.684971508042358e-43 3174
18.25 1.474186090087611e-43 2582
18.5 1.0903039548828e-43 1928
18.75 9.278759862573881e-44 1662
19 7.623674052050649e-44 1256
19.25 5.463626269815709e-44 864
19.5 2.612060860132326e-44 428
19.75 3.017201608385283e-44 456
20 1.740418237222445e-44 248
20.25 7.815808521174741e-45 104
20.5 5.55119537881627e-46 18
20.75 3.970991335570956e-46 7

0.25 9.471390625961544e-20 18
0.5 3.259437046547933e-19 62
0.75 2.575756183193365e-19 98
1 4.035531161305685e-19 210
1.25 6.419922083745525e-19 350
1.5 1.011148462492323e-18 450
1.75 2.175411054407091e-18 602
2 2.408977908018104e-18 762
2.25 8.619872682080102e-19 1142
2.5 1.47175917877385e-19 1250
2.75 2.850296873846809e-20 1458
3 4.610992765631441e-21 1814
3.25 3.901092634287954e-22 2178
3.5 1.527170559447006e-23 2498
3.75 8.271612593917201e-25 2622
4 9.719863724250901e-25 3338
4.25 1.280608542972155e-24 3722
4.5 1.968206829177575e-24 4170
4.75 2.986005151125157e-24 4358
5 2.486262938034161e-24 5034
5.25 2.083514149067923e-25 5714
5.5 4.06421716969745e-27 5982
5.75 1.014837843813005e-27 6602
6 7.817439459955763e-28 7130
6.25 5.253433076486843e-28 8034
6.5 2.98153635657882e-28 8606
6.75 1.721054291631568e-28 9066
7 9.959850757172673e-29 9962
7.25 5.184536927510524e-29 10550
7.5 2.207190625800756e-29 11226
7.75 6.592046061264124e-30 12146
8 2.447656109594345e-31 12606
8.25 6.397938039019021e-37 13802
8.5 4.593315094322503e-37 14754
8.75 2.155735561995343e-37 15194
9 6.336955541184717e-38 16454
9.25 8.669021283508471e-39 17154
9.5 5.008357171951645e-40 18266
9.75 5.718267712459722e-41 18750
10 4.259160931942821e-41 20234
10.25 3.073293114194341e-41 21450
10.5 2.118127961520294e-41 21962
10.75 1.428570303018332e-41 23462
11 7.950236838339394e-42 24042
11.25 3.798582423864757e-42 25946
11.5 1.397968758028592e-42 26118
11.75 7.414851107427136e-43 27506
12 7.366924766300416e-43 28631
12.25 7.722834282276882e-43 28596
12.5 7.681275459292568e-43 27848
12.75 7.679009645893216e-43 26544
13 8.107323150292678e-43 26456
13.25 7.992186819782687e-43 25284
13.5 8.140370725390948e-43 24260
13.75 8.167605102039372e-43 23312
14 8.334666473659869e-43 22368
14.25 8.503596470600275e-43 21872
14.5 8.455810304363472e-43 20400
14.75 8.149238001703325e-43 19040
15 8.313691745995356e-43 18252
15.25 7.999105052126374e-43 16760
15.5 7.966294830565764e-43 15776
15.75 7.323097532220516e-43 13704
16 7.197781942476431e-43 13112
16.25 6.870503901378392e-43 11652
16.5 5.978127347961261e-43 9776
16.75 5.427156597785412e-43 8448
17 4.491653207194913e-43 7013
17.25 3.637198582009051e-43 5546
17.5 3.184538591122832e-43 4722
17.75 2.688734590868641e-43 3782
18 2.328864947858773e-43 3174
18.25 1.878819088172603e-43 2582
18.5 1.450163341927339e-43 1928
18.75 1.259157501686696e-43 1662
19 9.64702803627266e-44 1256
19.25 6.891456730132077e-44 864
19.5 3.428693945890752e-44 428
19.75 3.831835534795519e-44 456
20 2.17192181909009e-44 248
20.25 9.794271717195138e-45 104
20.5 1.316582452451474e-45 18
20.75 5.018736115415156e-46 7

0.25 2.354476934556311e-18 18
0.5 5.317890412002742e-18 62
0.75 1.423575270627378e-18 98
1 2.42043506159028e-19 210
1.25 2.454182121620688e-18 350
1.5 1.428070838813892e-17 450
1.75 4.466540688003635e-17 602
2 4.225282988938663e-17 762
2.25 7.335771548337484e-18 1142
2.5 1.207664291771308e-19 1250
2.75 6.412272366332336e-20 1458
